KGYX       PrtlndME     43.8914    -70.2564     140     WSR-88D	 2840  74389  GYX
KHDX       Holloman     33.0764   -106.1228    1297     WSR-88D	 2860  72364  EPZ
KHGX        Houston     29.4719    -95.0792      30     WSR-88D	 2705  72240  LCH
KHNX        Hanford     36.3142   -119.6322     100     WSR-88D	 2870  74612  KNID
KHPX       FortCamp     36.7367    -87.2850     186     WSR-88D	 2855  72327  BNA
KHTX       Huntsvil     34.9306    -86.0833     551     WSR-88D	 2755  72327  BNA
KICT        Wichita     37.6547    -97.4428     421     WSR-88D	 2870  74646  LMN
KICX       CedarCty     37.5908   -112.8622    3261     WSR-88D	 2880  72388  VEF
KILN       Cincnati     39.4203    -83.8217     352     WSR-88D	 2725  72426  ILN
KILX       LinclnIL     40.1506    -89.3369     207     WSR-88D	 2805  74560  ILX
KIND       Indianap     39.7075    -86.2803     266     WSR-88D	 2890  72426  ILN
KINX          Tulsa     36.1750    -95.5647     224     WSR-88D	 2890  74646  LMN
KIWA        Phoenix     33.2892   -111.6700     427     WSR-88D	 2770  72274  TWC
KIWX        FtWayne     41.3589    -85.7000     293     WSR-88D	 2705  72632  DTX
KJAX       Jaxnvill     30.4847    -81.7019      35     WSR-88D	 2705  72206  JAX
KJGX       RobinsAF     32.6753    -83.3511     184     WSR-88D	 2875  72215  FFC
KJKL       JacksnKY     37.5908    -83.3131     446     WSR-88D	 2855  72426  ILN
KLBB        Lubbock     33.6542   -101.8142    1013     WSR-88D	 2850  72363  AMA
KLCH       LkCharls     30.1253    -93.2158      24     WSR-88D	 2895  72240  LCH
KLIX       NewOrlns     30.3367    -89.8256      37     WSR-88D	 2993  72233  SIL
KLNX       N.Platte     41.9578   -100.5764     930     WSR-88D	 2770  72562  LBF
KLOT        Chicago     41.6047    -88.0847     227     WSR-88D	 2895  74560  ILX
KLRX           Elko     40.7397   -116.8028    2086     WSR-88D	 2770  72582  LKN
KLSX       St.Louis     38.6989    -90.6828     215     WSR-88D	 2707  74560  ILX
KLTX       WilmngOH     33.9894    -78.4289      39     WSR-88D	 2755  72305  MHX
KLVX       Louisvil     37.9753    -85.9439     249     WSR-88D	 2895  72327  BNA
KLWX       Sterling     38.9753    -77.4778     107     WSR-88D	 2950  72403  IAD
KLZK       LitlRock     34.8364    -92.2622     193     WSR-88D	 2890  72340  LZK
KMAF        Midland     31.9433   -102.1892     889     WSR-88D	 2720  72265  MAF
KMAX        Medford     42.0811   -122.7172    2299     WSR-88D	 2840  72597  MFR
KMBX       MinotAFB     48.3925   -100.8650     465     WSR-88D	 2895  72764  BIS
KMHX       Morehead     34.7758    -76.8763      39     WSR-88D	 2770  72305  MHX
KMKX       Milwauke     42.9678    -88.5506     307     WSR-88D	 2805  72645  GRB
KMLB       Melbourn     28.1133    -80.6542      31     WSR-88D	 2865  72202  MFL 
KMOB         Mobile     30.6794    -88.2397      83     WSR-88D	 2720  72233  SIL
KMPX       Minneapl     44.8489    -93.5656     318     WSR-88D	 2880  72649  MPX
KMQT       Marquett     46.5311    -87.5483     460     WSR-88D	 2725  72645  GRB
KMRX       Knoxvill     36.1686    -83.4017     433     WSR-88D	 2875  72327  BNA
KMSX       Missoula     47.0411   -113.9861    2404     WSR-88D	 2895  72776  TFX
KMTX       SaltLake     41.2628   -112.4478    1999     WSR-88D	 2760  72572  SLC
KMUX        SanFran     37.1553   -121.8983    1077     WSR-88D	 2745  72493  OAK
KMVX       GrndFork     47.5278    -97.3256     325     WSR-88D	 2860  72659  ABR
