VarName	VarUnit	VarPrefix	ProductDir	VarMissing	VarNoCoverage	VarScale	w2Name	w2Unit	w2Missing	w2NoCoverage
UNQC_CREF	dBZ	UNQC_CREF	unqc_cref	-99	-999	10	MergedReflectivityComposite	dBZ	-99900	-99903
CREF_MAX	dBZ	CREF_MAX	cref_max	-99	-999	10	MergedReflectivityQComposite	none	-99900	-99903
CREF_MAX	dBZ	CREF_MAX	cref_max	-99	-999	10	MergedReflectivityQComposite	dBZ	-99900	-99903
BASE_DHC	flag	BASE_DHC	base_dhc	-1	-999	1	Merged_LVL3_DHC	none	-99900	-99903

RALA	dBZ	RALA	rala	-99	-999	10	ReflectivityAtLowestAltitude	dBZ	-99900 -99903
UNQC_RALA	dBZ	UNQC_RALA	unqc_rala	-99	-999	10	MergedReflectivityAtLowestAltitude	none	-99900 -99903
UNQC_RALA	dBZ	UNQC_RALA	unqc_rala	-99	-999	10	MergedReflectivityAtLowestAltitude	dBZ	-99900 -99903

VELOCITY	m/sec	VELOCITY	velocity	-99	-999	10	MergedVelocityAtLowestAltitude	MetersPerSecond	-99900 -99903

#ETP-35	km	ETP-35	etp-35	-1	-999	1000	EchoTop_-35	km	-99900	-99903
ETP-35	km	ETP-35	etp-35	-1	-999	1000	SimpleCloudTop	km	-99900	-99903
ETP00	km	ETP00	etp00	-1	-999	1000	EchoTop_00	km	-99900	-99903
ETP18	km	ETP18	etp18	-1	-999	1000	EchoTop_18	km	-99900	-99903
ETP30	km	ETP30	etp30	-1	-999	1000	EchoTop_30	km	-99900	-99903
ETP50	km	ETP50	etp50	-1	-999	1000	EchoTop_50	km	-99900	-99903
ETP60	km	ETP60	etp60	-1	-999	1000	EchoTop_60	km	-99900	-99903

H50_0C	km	H50_0C	etp50_above_0C	-1	-999	1000	H50_Above_0C	km	-99900	-99903
H60_0C	km	H60_0C	etp60_above_0C	-1	-999	1000	H60_Above_0C	km	-99900	-99903
H50_-20C	km	H50_-20C	etp50_above_m20C	-1	-999	1000	H50_Above_-20C	km	-99900	-99903
H60_-20C	km	H60_-20C	etp60_above_m20C	-1	-999	1000	H60_Above_-20C	km	-99900	-99903

#NOTE: Use "none" instead of "SI" for w2Units
#Rotation (AzShear and Tracks) for low and mid-levels
AZ_SHEAR_2KM	1/sec	AZ_SHEAR_2KM	az_shear	-1	-3	1000	MergedAzShear_0-2kmAGL	none    	-99900	-99903
AZ_SHEAR_2KM	1/sec	AZ_SHEAR_2KM	az_shear	-1	-3	1000	MergedAzShear_0-2kmAGL	1/second	-99900	-99903
AZ_SHEAR_6KM	1/sec	AZ_SHEAR_6KM	az_shear_ml	-1	-3	1000	MergedAzShear_3-6kmAGL	none    	-99900	-99903
AZ_SHEAR_6KM	1/sec	AZ_SHEAR_6KM	az_shear_ml	-1	-3	1000	MergedAzShear_3-6kmAGL	1/second	-99900	-99903
RT30M		1/sec	RT30M	rotate_track/30m_acc	-1	-3	1000	RotationTrack30min	none    	-99900	-99903
RT30M		1/sec	RT30M	rotate_track/30m_acc	-1	-3	1000	RotationTrack30min	1/second	-99900	-99903
RT60M		1/sec	RT60M	rotate_track/60m_acc	-1	-3	1000	RotationTrack60min	none    	-99900	-99903
RT60M		1/sec	RT60M	rotate_track/60m_acc	-1	-3	1000	RotationTrack60min	1/second	-99900	-99903
RT120M		1/sec	RT120M	rotate_track/120m_acc	-1	-3	1000	RotationTrack120min	none    	-99900	-99903
RT120M		1/sec	RT120M	rotate_track/120m_acc	-1	-3	1000	RotationTrack120min	1/second	-99900	-99903
RT240M		1/sec	RT240M	rotate_track/240m_acc	-1	-3	1000	RotationTrack240min	none    	-99900	-99903
RT240M		1/sec	RT240M	rotate_track/240m_acc	-1	-3	1000	RotationTrack240min	1/second	-99900	-99903
RT360M		1/sec	RT360M	rotate_track/360m_acc	-1	-3	1000	RotationTrack360min	none    	-99900	-99903
RT360M		1/sec	RT360M	rotate_track/360m_acc	-1	-3	1000	RotationTrack360min	1/second	-99900	-99903
